strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Spain/44579-1/2020	MW848761	H3N2	2020-05-18	Swine	Spain	?	Swine	swine	Swine
A/swine/Iowa/A02636147/2021	OK625345	H3N2	2021-09-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02636129/2021	OK625361	H3N2	2021-09-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/A02636113/2021	OK384275	H3N2	2021-09-02	Swine	Usa	?	Swine	swine	Swine
A/Spot-billedduck/SouthKorea/KNU2020-105/2020	OK235631	H3N2	2020-10-12	Avian	South korea	?	Duck	duck	Anseriformes
A/Wildduck/SouthKorea/KNU2020-134/2020	OK253021	H3N2	2020-10-13	Avian	South korea	?	Duck	duck	Anseriformes
A/swine/Missouri/A02636044/2021	OK143164	H3N2	2021-08-11	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02636058/2021	OK143172	H3N2	2021-08-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02636047/2021	OK143184	H3N2	2021-08-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02636021/2021	OK064052	H3N2	2021-08-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02636000/2021	OK047451	H3N2	2021-07-16	Swine	Usa	?	Swine	swine	Swine
A/Thailand/CU-B36461/2020	MW600331	H3N2	2020-02-04	Human	Thailand	?	Human	human	Human
A/swine/Minnesota/A02248041/2021	MZ892396	H3N2	2021-06-15	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A01378048/2021	MZ750374	H3N2	2021-07-19	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02635941/2021	MZ663753	H3N2	2021-07-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02635916/2021	MZ606803	H3N2	2021-06-24	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02635904/2021	MZ606829	H3N2	2021-06-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02635906/2021	MZ606841	H3N2	2021-06-24	Swine	Usa	?	Swine	swine	Swine
A/swine/Illinois/A02525379/2021	MZ305203	H3N2	2021-04-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Michigan/A02635708/2021	MZ305255	H3N2	2021-04-20	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525387/2021	MZ156817	H3N2	2021-03-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02525393/2021	MZ156831	H3N2	2021-04-19	Swine	Usa	?	Swine	swine	Swine
A/California/55/2020	MZ046764	H3N2	2020-10-12	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02525306/2021	MW939641	H3N2	2021-03-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525261/2021	MW887575	H3N2	2021-03-16	Swine	Usa	?	Swine	swine	Swine
A/Human/NewYorkCity/PV07994/2020	MW855316	H3N2	2020-03-03	Human	Usa	?	Human	human	Human
A/swine/Pennsylvania/A02525244/2021	MW849236	H3N2	2021-03-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525241/2021	MW849244	H3N2	2021-03-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525184/2021	MW728987	H3N2	2021-02-15	Swine	Usa	?	Swine	swine	Swine
